"subj" "trial" "rating" "cond" "targ_ID" "dist_ID" "exp"
"1912" "4" 476 2 "semantic" "Besen" "Staubsauger" 6
"1913" "4" 477 4 "unrelated" "Klingel" "Schere" 6
"1915" "4" 479 2 "semantic" "Hund" "Pferd" 6
"1916" "4" 480 3 "semantic" "Glocke" "Klingel" 6
"1917" "4" 481 2 "unrelated" "Esel" "Hammer" 6
"1918" "4" 482 4 "congruent" "Harfe" "Harfe" 6
"1919" "4" 483 2 "congruent" "Pferd" "Pferd" 6
"1920" "4" 484 1 "semantic" "Ente" "Hahn" 6
"1921" "4" 485 2 "congruent" "Dudelsack" "Dudelsack" 6
"1922" "4" 486 1 "semantic" "Schaf" "Esel" 6
"1923" "4" 487 3 "congruent" "Zug" "Zug" 6
"1926" "4" 490 3 "semantic" "Affe" "Kuh" 6
"1927" "4" 491 4 "unrelated" "Auto" "Schaf" 6
"1928" "4" 492 4 "unrelated" "Hahn" "Klingel" 6
"1929" "4" 493 3 "semantic" "Katze" "Loewe" 6
"1930" "4" 494 3 "congruent" "Gitarre" "Gitarre" 6
"1932" "4" 496 3 "congruent" "Trommel" "Trommel" 6
"1933" "4" 497 4 "unrelated" "Schwein" "Fahrrad" 6
"1936" "4" 500 4 "unrelated" "Kuh" "Floete" 6
"2293" "5" 373 4 "congruent" "Hund" "Hund" 6
"2294" "5" 374 3 "semantic" "Kuh" "Affe" 6
"2295" "5" 375 2 "congruent" "Schiff" "Schiff" 6
"2299" "5" 379 1 "semantic" "Schwein" "Elefant" 6
"2300" "5" 380 5 "unrelated" "Trompete" "Staubsauger" 6
"2301" "5" 381 3 "unrelated" "Fahrrad" "Loewe" 6
"2303" "5" 383 2 "congruent" "Katze" "Katze" 6
"2304" "5" 384 3 "unrelated" "Staubsauger" "Kuh" 6
"2305" "5" 385 2 "semantic" "Elefant" "Schwein" 6
"2306" "5" 386 3 "semantic" "Klingel" "Glocke" 6
"2307" "5" 387 2 "semantic" "Auto" "Fahrrad" 6
"2309" "5" 389 3 "semantic" "Esel" "Schaf" 6
"2310" "5" 390 3 "congruent" "Glocke" "Glocke" 6
"2311" "5" 391 5 "unrelated" "Floete" "Besen" 6
"2313" "5" 393 3 "unrelated" "Loewe" "Glocke" 6
"2314" "5" 394 2 "semantic" "Hahn" "Ente" 6
"2315" "5" 395 2 "unrelated" "Bohrer" "Trompete" 6
"2316" "5" 396 4 "semantic" "Schere" "Saege" 6
"2317" "5" 397 3 "congruent" "Besen" "Besen" 6
"2318" "5" 398 3 "congruent" "Schaf" "Schaf" 6
"2319" "5" 399 2 "congruent" "Affe" "Affe" 6
"2320" "5" 400 3 "unrelated" "Orgel" "Hund" 6
"2321" "5" 401 2 "unrelated" "Hammer" "Dudelsack" 6
"2323" "5" 403 2 "congruent" "Ente" "Ente" 6
"2325" "5" 405 5 "unrelated" "Kuh" "Floete" 6
"2326" "5" 406 2 "congruent" "Geige" "Geige" 6
"2327" "5" 407 1 "unrelated" "Schwein" "Fahrrad" 6
"2328" "5" 408 3 "semantic" "Katze" "Loewe" 6
"2329" "5" 409 1 "congruent" "Harfe" "Harfe" 6
"2330" "5" 410 2 "congruent" "Gitarre" "Gitarre" 6
"2331" "5" 411 3 "semantic" "Schiff" "Zug" 6
"2332" "5" 412 3 "semantic" "Hund" "Pferd" 6
"2333" "5" 413 3 "congruent" "Dudelsack" "Dudelsack" 6
"2334" "5" 414 4 "semantic" "Glocke" "Klingel" 6
"2335" "5" 415 2 "congruent" "Trommel" "Trommel" 6
"2338" "5" 418 4 "unrelated" "Hahn" "Klingel" 6
"2340" "5" 420 4 "unrelated" "Schere" "Affe" 6
"2341" "5" 421 2 "semantic" "Ente" "Hahn" 6
"2342" "5" 422 4 "unrelated" "Auto" "Schaf" 6
"2343" "5" 423 3 "unrelated" "Elefant" "Bohrer" 6
"2344" "5" 424 2 "congruent" "Pferd" "Pferd" 6
"2346" "5" 426 2 "semantic" "Affe" "Kuh" 6
"2347" "5" 427 4 "semantic" "Schaf" "Esel" 6
"2348" "5" 428 2 "congruent" "Zug" "Zug" 6
"2350" "5" 430 4 "unrelated" "Klingel" "Schere" 6
"2351" "5" 431 4 "unrelated" "Esel" "Hammer" 6
"2355" "5" 435 4 "congruent" "Saege" "Saege" 6
"2356" "5" 436 4 "semantic" "Besen" "Staubsauger" 6
"2357" "5" 437 3 "congruent" "Schwein" "Schwein" 6
"2358" "5" 438 4 "unrelated" "Harfe" "Ente" 6
"2359" "5" 439 2 "congruent" "Klingel" "Klingel" 6
